QuestionNumber,Question,RelatedTags,Answer
1017,What is Lance’s team of 6 for title challenges?,"['Aerodactyl', 'Champion', 'Dov', 'Dragonite', 'Lev', 'Mael', 'Magnus', 'Saph', 'Pokemon Battle']","Dragonite, Dov, Saph, Magnus, Lev, and Mael. Aerodactyl is typically used for battles against fellow Champions he knows can handle her. Too risky otherwise."
1018,Do you think he'll [Lance will] be able to get gabite/vibrava up to speed with the rest of the team in any close time?,"['Dragonite', 'Flygon', 'Gabite', 'Garchomp', 'Master Trainer', 'Lance', 'Salamence', 'Vibrava']","I imagine in the next year Lance will have a high Master-level Salamence, Garchomp, and Flygon to add to the mix. I imagine he’ll alternate out two of the Dragonite in Champion battles to make that work."
1019,On Saph’s progress.,"['Dov', 'Dragonite', 'Evolution', 'Lance', 'Saph']","I figure she’s still catching up a bit, but at this point Dragonite and Dov have managed to really accelerate her training. I also figure Lance was very patient with Saph’s evolutions, where there would’ve been more of a need for Dragonite to evolve early."
1020,Wes died in Traveler?,"['Cipher', 'Wes']",Wes died about seven years before Traveler began. Wes had three years after Colosseum before he was assassinated by Cipher!
1021,How is the Galar League structured? We see in the games that there really isn't a Champion that presides over the entire region along with an Elite 4 (at least in present) and it's more similar to a sports tournament with Leon as the most famous figurehead of the entire tournament. We know that Galar has NOBLE as their ACE equivalent but who do they report and operate under?,"['ACE Trainer', 'Chairman Rose', 'Champion', 'Elite Four', 'Galar', 'League', 'Leon', 'Macro Cosmos', 'NOBLE Trainer']","So, Galar is in a unique boat. It does have a League, with Leon as Champion but no Elite Four to carry out his will, but with Gym Leaders there to fulfill a similar role as in Indigo (but with much more of a celebrity bent). The real power lies in Macro Cosmos, which has slowly taken control and power away from the League - at this point, the League is just a public-facing side of Macro Cosmos. Nominally independent, but heavily reliant on Macro Cosmos’ resources and support to function."
1022,"Isn't everyone in Galar a step down in terms of skill compared to say the National League, thanks to how isolated they are?","['Champion', 'Galar', 'Master Trainer', 'National League']","I’d say it’s less that they’re a step down in skill, but more that they’re a step down in experience. They can still reach the equivalent levels, but tend to not be as battle-hardened. In the high tiers you tend to see Champions and such that struggle against equal opponents and Masters more than they should do to a lack of competition. Absolutely something that can be fixed, though!"
1023,On how accessible some Master Trainer’s techniques are.,['Master Trainer'],"My view of it is that training rate has largely peaked, although the rate has room to increase a bit more. Due to the Pokémon World’s more unique and powerful techniques being guarded behind the Master-apprentice system they just don’t have the accessibility and freedom of information our world has."
1024,"The God-King was noted to be around the same level as Lugia, was this in reference to Lugia now or Lugia before the split?","['God-King', 'Legendary Pokemon', 'Lugia']",That’s in reference to current Lugia! Will confirm that.
1025,So I assume it’s the same with Reshiram and Zekrom being on par with current Lugia?,"['Concept', 'Legendary Pokemon', 'Lugia', 'Pokemon Battle', 'Reshiram', 'Zekrom']","Yep. They’re all roughly on the same level, with different matchups being determined by context and Concept."
1026,On whether a Concept can power up another Concept.,"['Concept', 'Creation Trio', 'Legendary Beasts', 'Legendary Birds', 'Legendary Pokemon']","Hmm, outside of rare occasions I’d say no, unless it’s a greater Legend empowering a lesser. Between high-tier Legends like the Creation Trio and low-tier Legends like the Beasts or Birds there’s a significantly bigger gap than between a full Bird and a human."
1027,So Celebi in Dialga's presence gets a huge boost? [see question 1026],"['Celebi', 'Creation Trio', 'Dialga', 'Legendary Pokemon', 'Moltres']","Yep, Celebi would hypothetically get a big boost. As for Moltres…if it was around a member of the Creation Trio, it would benefit from reality being a little more…real, which would amplify its abilities."
1028,How do Inkay and Malamar work in Traveler?,"['Inkay', 'Malamar']","Basically, they have extremely compartmentalized bodies with lining between different sections that enables them to manipulate both energies at once. If they’re injured, however, there’s a chance that the lining will be disrupted which can nullify their abilities."
1029,Do they [Inkay line] have the dark type problem of not being able to effectively talk to others or are they Psychic enough to have that talking telepathy thing? [see question 1010],"['Dark type', 'Inkay', 'Language', 'Malamar', 'Psychic type']",Due to their psychic abilities they are able to use telepathy and communicate effectively! They just tend to use it more for dominating others than diplomacy.
1030,"Does their [Inkay line] evolution requirement of having to be upside down to evolve have any correlation to Traveler, or is it just that Malamar's body plan is opposite Inkay's?","['Distortion', 'Inkay', 'Malamar', 'Psychic type']","Nothing concrete yet, but I'm considering the idea that it basically has a compartmentalized body. What I mean by this is that the core with all the organs and central brain is protected by Distortion to allow it to nullify psychic attacks and otherwise protect itself. Its head tentacles are used to manipulate Distortion. Its brain, however, is connected to its 'arms' through very tough, protective tissue that separates the Distortion from the neural system that goes to the arms. That allows it to use the arms to manipulate psychic powers."
1031,On how much Ash understands Air Lens.,"['Air Lens', 'Ash', 'Blaine', 'Psychic type']","Just wanted to provide some clarification on that front! Ash does have a good understanding of the basics of Air Lens - the fine-tuned physics stuff is beyond him, but thanks to Blaine he does understand the physical processes that are going on (just not in as much detail as Blaine himself). It’s that knowledge he’s using to develop a way around it!"
1032,Is there a potential mirror electric Air Lens that Oz could use?,"['Air Lens', 'Infernus', 'Oz']","I currently have it as no mirror electric Air Lens, although Oz is going to focus more on her psychic barriers to counteract elemental attacks like Infernus’."
